ensg	entr	hgnc	symb	synonym1	synonym2
ENSG00000223770	101927356	HGNC:40120	CACNA2D1-AS1		
ENSG00000007402	9254	HGNC:1400	CACNA2D2	KIAA0558	
ENSG00000007402	9254	HGNC:1400	CACNA2D2	alpha2delta-2	
ENSG00000157445	55799	HGNC:15460	CACNA2D3	HSA272268	
ENSG00000157445	55799	HGNC:15460	CACNA2D3	alpha2delta-3	
ENSG00000243715	100874237	HGNC:40702	CACNA2D3-AS1		
ENSG00000151062	93589	HGNC:20202	CACNA2D4	alpha2delta-4	
ENSG00000067191	782	HGNC:1401	CACNB1		CACNLB1
ENSG00000165995	783	HGNC:1402	CACNB2		MYSB
ENSG00000165995	783	HGNC:1402	CACNB2		CACNLB2
ENSG00000167535	784	HGNC:1403	CACNB3		CACNLB3
ENSG00000182389	785	HGNC:1404	CACNB4	EJM4	
ENSG00000108878	786	HGNC:1405	CACNG1		CACNLG
ENSG00000166862	10369	HGNC:1406	CACNG2	stargazin	
ENSG00000166862	10369	HGNC:1406	CACNG2	MGC138502	
ENSG00000166862	10369	HGNC:1406	CACNG2	MGC138504	
ENSG00000234688	105373021	HGNC:55682	CACNG2-DT		
ENSG00000006116	10368	HGNC:1407	CACNG3		
ENSG00000075461	27092	HGNC:1408	CACNG4	MGC11138	
ENSG00000075461	27092	HGNC:1408	CACNG4	MGC24983	
ENSG00000075429	27091	HGNC:1409	CACNG5		
ENSG00000130433	59285	HGNC:13625	CACNG6		
ENSG00000105605	59284	HGNC:13626	CACNG7		
ENSG00000142408	59283	HGNC:13628	CACNG8		
ENSG00000105298	58509	HGNC:29938	CACTIN	NY-REN-24	C19orf29
ENSG00000105298	58509	HGNC:29938	CACTIN	fSAPc	C19orf29
ENSG00000226800	404665	HGNC:31391	CACTIN-AS1		C19orf29OS
ENSG00000226800	404665	HGNC:31391	CACTIN-AS1		C19orf29-AS1
ENSG00000151893	143384	HGNC:23727	CACUL1	FLJ40409	C10orf46
ENSG00000151893	143384	HGNC:23727	CACUL1	MGC33215	C10orf46
ENSG00000151893	143384	HGNC:23727	CACUL1	CAC1	C10orf46
ENSG00000116161	27101	HGNC:30423	CACYBP	SIP	
